Price,Close,High,Low,Open,Volume
Ticker,SIEGY,SIEGY,SIEGY,SIEGY,SIEGY
Date,,,,,
2023-04-10,75.10752868652344,75.64220116672566,72.91049049619009,72.91049049619009,133200
2023-04-11,76.0116195678711,76.30325708168073,75.92412312194112,76.11855554798623,103500
2023-04-12,77.33373260498047,77.57676758184485,77.08097415232663,77.36289561550997,523000
2023-04-13,77.70314025878906,77.80035276261277,77.04208484921375,77.48926830027372,84900
2023-04-14,78.07255554199219,78.257264502405,77.68370550278068,77.93645654490034,91900
2023-04-17,78.25726318359375,78.2767027184911,77.7128672044007,77.8684057340963,225600
2023-04-18,78.58778381347656,78.68500373429724,78.09199781811652,78.48085525088335,69800
2023-04-19,78.01422882080078,78.22810079055516,77.82951986204218,77.85868287303795,67000
2023-04-20,77.5184326171875,78.10171506680622,77.22679510079752,77.22679510079752,68900
2023-04-21,77.57676696777344,77.87812796331134,77.03236358045609,77.03236358045609,262800
2023-04-24,78.32530975341797,78.34474928758873,77.81980027975304,78.04338829849071,105300
2023-04-25,77.9267349243164,78.77249185776533,77.91701144897833,78.44196786465622,121300
2023-04-26,77.65453338623047,78.44197175724223,77.51843439209784,78.20865283858153,82400
2023-04-27,79.2682876586914,79.297450668748,78.50029625423306,79.17107515288983,134900
2023-04-28,79.87101745605469,79.90989652509631,78.88915408388057,78.88915408388057,123200
2023-05-01,79.84185028076172,80.01683576593094,78.55862586180046,78.55862586180046,64600
2023-05-02,79.13218688964844,79.2002363838648,78.38363503642967,79.15162642363657,75100
2023-05-03,79.99739074707031,80.68760916435926,79.8807312926744,80.17237622024487,76100
2023-05-04,79.4724349975586,80.03627790663454,79.2585630377823,79.83212942234952,95100
2023-05-05,80.64872741699219,80.81398942446519,79.68631096641755,79.91962247207584,75600
2023-05-08,80.02655792236328,80.67788988875967,79.94878494871742,80.60984039102928,101600
2023-05-09,80.24042510986328,80.37652409721377,79.48215720409952,79.62797966678606,71500
2023-05-10,79.66686248779297,79.74463546046837,78.70444605566121,79.71547244992482,171000
2023-05-11,79.04469299316406,79.10302643068647,77.92673804025542,78.29614853264934,69000
2023-05-12,79.12246704101562,79.22940302494857,78.77249607847855,78.84054557581416,92300
2023-05-15,79.81268310546875,79.81268310546875,79.19051417217936,79.56964813412638,184400
2023-05-16,78.84054565429688,79.50160109343174,78.7238936112277,79.44327507189715,93600
2023-05-17,81.34866333007812,81.38754981428296,80.11404897813783,80.60011890544067,156800
2023-05-18,82.78743743896484,82.78743743896484,82.07777204859963,82.1944315066544,146700
2023-05-19,83.80818176269531,84.4206272433259,83.66235929106736,83.72069272982195,137800
2023-05-22,82.78743743896484,83.06935148312924,82.77771396325056,82.97213897650302,79100
2023-05-23,80.83343505859375,81.4847670187256,80.59040008091718,80.87232154504267,88800
2023-05-24,79.44327545166016,80.06544440713313,78.94748201572922,80.06544440713313,103800
2023-05-25,80.4931869506836,80.54178949573966,79.78352155794741,80.41541397838724,112200
2023-05-26,81.77641296386719,81.89306500780891,81.0667475569193,81.07647103286078,72900
2023-05-30,81.62086486816406,82.60272824092189,81.3097803977745,82.60272824092189,83100
2023-05-31,79.81268310546875,80.40568902889125,78.7627702492284,80.30847652372205,134000
2023-06-01,82.42774200439453,82.42774200439453,80.75566021012015,81.06674467764758,244100
2023-06-02,82.7777099609375,83.12768090134183,82.66105050852323,82.91380894700157,202300
2023-06-05,82.38885498046875,82.77771241654668,81.86389855428938,82.76798894101408,105500
2023-06-06,82.4569091796875,82.53468215470777,81.99027874640498,81.99027874640498,85300
2023-06-07,82.14582061767578,83.04018753548374,82.1263810833055,82.44718160986702,119600
2023-06-08,83.15684509277344,83.36099357477266,82.5055131620847,82.65132820862802,88300
2023-06-09,82.7291030883789,82.86520207952117,82.43746557171924,82.86520207952117,91100
2023-06-12,84.45951080322266,84.45951080322266,83.4873709151784,83.66235639169992,88400
2023-06-13,86.20936584472656,86.3260253017277,85.7038563647325,86.08299032893774,129900
2023-06-14,86.39407348632812,86.76348396930076,85.76218108329601,86.53988853431821,70600
2023-06-15,88.32862854003906,88.54250049657995,87.25927617417322,87.29816265871143,216300
